short_name,long_name,nationality_name,overall,age,player_positions,club_name,cluster,cluster_name,pace,shooting,passing,dribbling,defending,physic
J. Risdon,Joshua Robert Risdon,Australia,64,32,"RB, LB, RM",Perth Glory,1,Defensive Anchor,71.0,48.0,58.0,61.0,60.0,76.0
G. Petit,Gonzalo Ezequiel Petit Abad,Uruguay,69,18,"ST, CAM",CD Mirandés,5,Target Striker,62.0,68.0,61.0,69.0,27.0,65.0
K. Yengi,Kusini Boja Yengi,Australia,65,26,"ST, LM, LW",Aberdeen,5,Target Striker,78.0,64.0,54.0,66.0,30.0,75.0
Raúl García,Raúl García de Haro,Spain,73,24,ST,CA Osasuna,5,Target Striker,66.0,74.0,61.0,70.0,25.0,68.0
C. Çanak,Cihan Çanak,Türkiye,66,20,"CAM, RM, CM",Trabzonspor,0,Pacey Dribbler,80.0,59.0,64.0,75.0,39.0,50.0
T. Bouchlarhem,Théo Bouchlarhem,France,64,24,"LM, ST, LW",FC Sion,0,Pacey Dribbler,73.0,60.0,60.0,63.0,46.0,59.0
Rafael Luís,Rafael Filipe Gonçalves Soares Luís,Portugal,67,20,"CDM, CM",RC Strasbourg Alsace,1,Defensive Anchor,59.0,51.0,64.0,67.0,61.0,68.0
P. McGinn,Paul McGinn,Scotland,64,34,CB,Motherwell FC,1,Defensive Anchor,65.0,52.0,56.0,60.0,63.0,73.0
D. Lamego,Djibril Lamego,France,66,22,"LB, CB, LM",RAAL La Louvière,1,Defensive Anchor,76.0,50.0,58.0,59.0,59.0,67.0
S. Robertson,Scott Alexander Cameron Robertson,Scotland,61,23,"CM, CDM",Notts County,1,Defensive Anchor,67.0,53.0,59.0,64.0,56.0,63.0
S. Nicholson,Sam Alastair Nicholson,Scotland,64,30,"RM, LM, RW",Motherwell FC,0,Pacey Dribbler,83.0,57.0,57.0,64.0,44.0,61.0
B. Chrisene,Benjamin Joshua Chrisene,England,66,21,"LB, LM",Norwich City,1,Defensive Anchor,72.0,52.0,61.0,65.0,61.0,63.0
L. Amos,Luke Ayodele Amos,England,65,28,"CM, CDM",Perth Glory,1,Defensive Anchor,61.0,54.0,63.0,65.0,61.0,61.0
A. Nadruz,Agustín Nadruz Blanco,Uruguay,66,29,"CDM, CM, CB",Unión Española,1,Defensive Anchor,57.0,52.0,58.0,61.0,62.0,71.0
E. Tallig,Erik Tallig,Germany,61,25,"CM, RW, RM",FC Energie Cottbus,0,Pacey Dribbler,67.0,59.0,63.0,66.0,51.0,53.0
A. Díaz,Alexander Díaz,Argentina,67,25,ST,Deportivo Riestra,5,Target Striker,77.0,63.0,53.0,69.0,35.0,70.0
R. Müller,Robin Guy Müller,Germany,62,25,"ST, RW, RM",TSV Havelse,5,Target Striker,83.0,59.0,55.0,65.0,42.0,69.0
Toni Abad,José Antonio Abad Martínez,Spain,68,28,"RB, RM",SD Huesca,1,Defensive Anchor,73.0,34.0,61.0,62.0,62.0,73.0
J. Tomlinson,Joseph William George Tomlinson,England,62,25,"LB, LM",Milton Keynes Dons,0,Pacey Dribbler,76.0,52.0,58.0,63.0,54.0,52.0
J. Gundersen,Jostein Maurstad Gundersen,Norway,71,29,CB,FK Bodø/Glimt,3,Defensive Anchor II,54.0,45.0,55.0,61.0,70.0,77.0
F. Murray,Fraser Murray,Scotland,64,26,"LM, LB, RM, LW",Wigan Athletic,0,Pacey Dribbler,73.0,58.0,61.0,65.0,52.0,51.0
K. Machida,Koki Machida町田 浩樹,Japan,76,27,CB,TSG 1899 Hoffenheim,1,Defensive Anchor,78.0,40.0,60.0,56.0,75.0,82.0
E. Karić,Emir Karić,Austria,66,28,"LB, LM",SK Sturm Graz,1,Defensive Anchor,68.0,44.0,59.0,63.0,62.0,74.0
J. Franco,Juan José Franco Arrellaga,Paraguay,67,33,"RB, CM, RM",Instituto Atlético Central Córdoba,1,Defensive Anchor,65.0,53.0,61.0,64.0,66.0,62.0
Pedrinho,Pedro Henrique Oliveira dos Santos,Brazil,66,28,"CAM, CM, LM",Konyaspor,0,Pacey Dribbler,70.0,69.0,66.0,68.0,37.0,57.0
J. Gho,Joaquín Gho,Argentina,67,22,"LM, RM, LB",Argentinos Juniors,0,Pacey Dribbler,71.0,64.0,61.0,70.0,43.0,60.0
R. Šimić,Roko Šimić,Croatia,67,21,ST,Karlsruher SC,5,Target Striker,62.0,68.0,62.0,69.0,30.0,70.0
G. Heredia,Gerónimo Heredia,Argentina,64,20,"RB, CM, RM",Belgrano de Córdoba,1,Defensive Anchor,75.0,51.0,61.0,62.0,58.0,64.0
R. Healey,Rhys James Evitt-Healey,England,66,30,ST,Barrow,0,Pacey Dribbler,61.0,68.0,60.0,67.0,32.0,59.0
G. McEachran,George James McEachran,England,63,24,"CDM, CM",Grimsby Town,1,Defensive Anchor,60.0,48.0,63.0,66.0,58.0,54.0
R. Palmer,Romal Jordan Palmer,England,65,26,"CM, CDM, CAM",St Patrick's Athletic FC,1,Defensive Anchor,63.0,56.0,58.0,66.0,61.0,67.0
F. Corbalán,Fabricio Alejandro Corbalán,Argentina,67,21,"RB, RM",Gimnasia y Esgrima La Plata,1,Defensive Anchor,78.0,39.0,58.0,64.0,63.0,67.0
Gabriel Pirani,Gabriel Cordeiro Pirani,Brazil,68,23,"CAM, CM, LM, ST",DC United,0,Pacey Dribbler,73.0,58.0,68.0,71.0,39.0,54.0
Henrique Arreiol,Henrique Miguel Sousa Arreiol,Portugal,65,20,"CDM, CM",Legia Warszawa,1,Defensive Anchor,60.0,47.0,59.0,62.0,64.0,69.0
I. Rodríguez,Ignacio Agustín Rodríguez,Argentina,67,23,"LM, CM, RM, LW",Racing Club,0,Pacey Dribbler,64.0,56.0,68.0,65.0,53.0,52.0
T. Molina,Tómas Martín Molina,Argentina,71,30,ST,Argentinos Juniors,5,Target Striker,81.0,70.0,56.0,67.0,24.0,70.0
C. Ikonomidis,Christopher James IkonomidisΚρίστοφερ Τζέιμς Οικονομίδης,Australia,62,30,"RM, ST, RW",Macarthur FC,5,Target Striker,74.0,60.0,58.0,64.0,43.0,64.0
M. Sanders,Max Harrison Sanders,England,62,26,"CDM, CM, CAM",Crewe Alexandra,1,Defensive Anchor,65.0,54.0,60.0,61.0,57.0,65.0
M. Rafferty,Marcus Rafferty,Sweden,63,20,"LW, LM",Degerfors IF,1,Defensive Anchor,70.0,59.0,58.0,63.0,55.0,67.0
F. Bianchini,Florian Bianchini,France,66,24,"ST, LM, RM, CAM",Portsmouth,0,Pacey Dribbler,84.0,64.0,60.0,68.0,30.0,58.0
A. Musaba,Anthony Tite Musaba,Netherlands,70,24,"RM, RW, LM",Samsunspor,4,Pacey Dribbler II,88.0,66.0,59.0,73.0,24.0,63.0
L. Gindorf,Lars Timo Gindorf,Germany,67,23,"ST, CAM",Alemannia Aachen,0,Pacey Dribbler,62.0,71.0,61.0,67.0,37.0,59.0
I. Hoffmann,Ian Jakob Hoffmann,United States,63,23,"RB, LB, RM",Kristiansund BK,1,Defensive Anchor,70.0,52.0,60.0,66.0,56.0,61.0
T. Rommens,Tuur Rommens,Belgium,69,22,"LB, LM",KVC Westerlo,1,Defensive Anchor,68.0,41.0,65.0,69.0,62.0,65.0
R. Kristiansen,Ruben Kristiansen,Norway,67,37,"LB, CB, LM",Tromsø IL,1,Defensive Anchor,52.0,47.0,60.0,61.0,67.0,66.0
C. Mawissa,Christian Mawissa Elebi,France,75,20,"CB, LB, LM",AS Monaco,1,Defensive Anchor,79.0,31.0,57.0,64.0,75.0,74.0
J. Guidetti,John Alberto Fernando Andres Luigi Olof Guidetti,Sweden,64,33,ST,AIK,5,Target Striker,49.0,68.0,61.0,62.0,36.0,71.0
O. Rivero,Raúl Octavio Rivero Falero,Uruguay,72,33,ST,Barcelona de Guayaquil,5,Target Striker,62.0,72.0,56.0,68.0,29.0,73.0
M. Robinson,Miles Gordon Robinson,United States,73,28,CB,FC Cincinnati,1,Defensive Anchor,82.0,35.0,55.0,67.0,72.0,79.0
J. Stephens,Jack Stephens,England,72,31,CB,Southampton,3,Defensive Anchor II,42.0,42.0,61.0,64.0,73.0,70.0
Chico Lamba,Chico Faria Camará Lamba,Portugal,70,22,CB,AS Saint-Étienne,1,Defensive Anchor,77.0,43.0,53.0,65.0,68.0,79.0
E. Twumasi,Emmanuel Twumasi,Ghana,64,28,"RB, RM, LB",Piast Gliwice,1,Defensive Anchor,75.0,53.0,55.0,65.0,59.0,64.0
Gabilondo,Jokin Gabilondo Garmendia,Spain,67,26,"RB, RM",Málaga CF,1,Defensive Anchor,78.0,40.0,58.0,64.0,63.0,64.0
J. Naschberger,Johannes Naschberger,Austria,63,25,"CM, CDM",WSG Tirol,0,Pacey Dribbler,78.0,58.0,60.0,67.0,55.0,54.0
E. Alagich,Ethan Maya Alagich,Australia,65,21,"CDM, CM, CAM",Adelaide United,1,Defensive Anchor,66.0,50.0,59.0,62.0,61.0,66.0
Kikas,João Diogo Alves Rodrigues,Portugal,71,26,"ST, RW, LW, RM",Estrela da Amadora,5,Target Striker,80.0,69.0,55.0,69.0,26.0,68.0
N. Kasanwirjo,Neraysho Meritchio Kasanwirjo,Netherlands,69,23,"RB, CB, CDM",Molde FK,1,Defensive Anchor,80.0,42.0,54.0,58.0,69.0,75.0
F. Surdez,Franck William Surdez,Switzerland,69,23,"LM, CAM, ST, LW",KAA Gent,0,Pacey Dribbler,78.0,66.0,62.0,69.0,31.0,59.0
G. Álvarez,Pedro Gastón Álvarez Sosa,Uruguay,75,25,"CB, LB, LM",Al Qadsiah FC,1,Defensive Anchor,76.0,27.0,59.0,65.0,76.0,77.0
M. Portillo,Marcos Ezequiel Portillo,Argentina,63,25,"CM, CDM, RW",Platense,0,Pacey Dribbler,68.0,62.0,59.0,65.0,56.0,52.0
A. Abdulai,Azeem Kerr Abdulai,Scotland,64,22,"LM, CAM, LW",Leyton Orient,1,Defensive Anchor,72.0,55.0,60.0,62.0,58.0,69.0
H. Carter,Hayden James Carter,England,70,25,"CB, RB",Blackburn Rovers,1,Defensive Anchor,71.0,40.0,57.0,59.0,69.0,78.0
D. Fila,Daniel Fila,Czechia,71,22,ST,Venezia,5,Target Striker,71.0,71.0,52.0,70.0,28.0,72.0
K. Doukoure,Kevin Doukoure Grobry,Côte d'Ivoire,62,26,"CDM, CM",FC Argeș,1,Defensive Anchor,72.0,51.0,55.0,62.0,60.0,72.0
L. Guzmán,Brian Lautaro Guzmán,Argentina,67,25,"LM, RM, RW, LW",FBC Melgar,0,Pacey Dribbler,72.0,62.0,62.0,68.0,37.0,63.0
D. Ask,Daniel Ask,Sweden,63,26,"CM, CDM",Östers IF,1,Defensive Anchor,70.0,59.0,61.0,62.0,50.0,66.0
C. Donovan,Colby Donovan,Scotland,64,18,"RB, CB, RM",Celtic,1,Defensive Anchor,73.0,48.0,56.0,58.0,60.0,69.0
R. Buess,Roman Buess,Switzerland,63,32,ST,FC Winterthur,5,Target Striker,71.0,64.0,59.0,61.0,39.0,66.0
E. Soglo,Emran Soglo,England,64,19,"LB, LM",SV Zulte Waregem,0,Pacey Dribbler,75.0,54.0,62.0,67.0,58.0,50.0
S. Clare,Sean James Kewku Clare,England,65,28,"RB, RM, CB, RW",Leyton Orient,1,Defensive Anchor,72.0,50.0,58.0,62.0,62.0,68.0
C. Whitely,Corey Milton Whitely,England,60,33,"LW, CM, LM",Bromley,1,Defensive Anchor,75.0,55.0,57.0,62.0,52.0,67.0
D. Pierias,Dylan Pierias,Australia,64,25,"RB, RM",Adelaide United,1,Defensive Anchor,88.0,50.0,53.0,67.0,57.0,69.0
F. Fernández,Fernando Fabián Fernández Acosta,Paraguay,70,33,ST,Guaraní,5,Target Striker,64.0,71.0,57.0,65.0,31.0,65.0
A. Cascioli,Axle Cascioli,Australia,63,37,"CAM, CM",Western United,0,Pacey Dribbler,73.0,63.0,64.0,63.0,31.0,54.0
E. Austbø,Edvin Austbø,Norway,66,20,"LW, RW, LM",Viking FK,0,Pacey Dribbler,77.0,62.0,60.0,68.0,33.0,63.0
M. Ferreira,Robinson Martín Ferreira García,Uruguay,69,33,"LB, CB, LM",Racing Club de Montevideo,1,Defensive Anchor,70.0,45.0,58.0,59.0,65.0,69.0
Park Ji Soo,Ji-su Park박지수 朴志洙,Korea Republic,70,31,CB,Wuhan Three Towns,1,Defensive Anchor,69.0,48.0,55.0,59.0,70.0,75.0
L. Fridrikas,Lukas Fridrikas,Austria,65,27,"ST, CAM",TSV Hartberg,5,Target Striker,73.0,65.0,61.0,65.0,30.0,67.0
Adu Ares,Malcom Abdulai Ares Djaló,Spain,68,23,"LM, RM, LW",SD Eibar,0,Pacey Dribbler,85.0,64.0,66.0,68.0,25.0,58.0
A. Johansson,Eric Alexander Johansson,Sweden,63,29,"ST, LW, CAM",Mjällby AIF,5,Target Striker,71.0,60.0,55.0,65.0,50.0,71.0
M. Iacobellis,Marco Osvaldo Iacobellis Nahara,Argentina,67,25,"RM, CAM, LM, RW",Club Atlético San Martín,0,Pacey Dribbler,77.0,63.0,65.0,66.0,49.0,52.0
L. Doucet,Lohann Doucet,France,68,22,"CDM, CM",Paris FC,1,Defensive Anchor,61.0,50.0,63.0,66.0,62.0,66.0
Salvi Sánchez,Salvador Sánchez Ponce,Spain,69,34,"RM, LM, RW",AD Ceuta FC,0,Pacey Dribbler,82.0,62.0,65.0,68.0,35.0,45.0
E. López,Enzo Adrián López,Argentina,64,27,ST,FC Botoşani,5,Target Striker,73.0,62.0,51.0,66.0,34.0,67.0
Pedro Nuno,Pedro Nuno Fernandes Ferreira,Portugal,63,30,"CAM, CM",Oțelul Galați,0,Pacey Dribbler,63.0,62.0,62.0,66.0,38.0,59.0
N. Tauer,Niklas Tauer,Germany,66,24,"CDM, CM, CB",1. FSV Mainz 05,1,Defensive Anchor,66.0,46.0,57.0,64.0,66.0,68.0
O. Batista Meier,Oliver Batista Meier,Germany,68,24,"CAM, LM, ST, CM",SC Preußen Münster,0,Pacey Dribbler,73.0,63.0,64.0,74.0,31.0,50.0
C. Stead,Callum Stead,England,64,25,"CAM, ST, LW, CM",Barnet,5,Target Striker,76.0,62.0,59.0,65.0,40.0,67.0
Kazu,Christian Kendji Wagatsuma Ferreira,Brazil,64,25,"LB, LM",Oțelul Galați,1,Defensive Anchor,73.0,46.0,59.0,61.0,60.0,63.0
J. Branthwaite,Jarrad Paul Branthwaite,England,79,23,CB,Everton,1,Defensive Anchor,71.0,39.0,58.0,60.0,80.0,78.0
Cassiano,Cassiano Dias Moreira,Brazil,72,36,ST,Casa Pia,5,Target Striker,65.0,71.0,54.0,67.0,27.0,75.0
M. Engels,Mario Engels,Germany,66,31,"LW, ST, LM",Heracles Almelo,0,Pacey Dribbler,85.0,67.0,59.0,66.0,27.0,62.0
D. Sinik,Doğukan Sinik,Türkiye,68,26,"LM, LW",Antalyaspor,0,Pacey Dribbler,80.0,62.0,64.0,72.0,38.0,44.0
Lee Kang Hee,Kang-hee Lee이강희,Korea Republic,63,23,"CDM, CB, CM",FK Austria Wien,1,Defensive Anchor,73.0,45.0,54.0,61.0,58.0,80.0
G. Fechner,Gino Fechner,Germany,65,27,"CDM, CM, CB",SV Wehen Wiesbaden,1,Defensive Anchor,74.0,52.0,55.0,61.0,64.0,75.0
W. Tesillo,William José Tesillo Gutiérrez,Colombia,74,35,"CB, LB, LM",Atlético Nacional,1,Defensive Anchor,64.0,29.0,62.0,67.0,76.0,74.0
N. Valentini,Nicolás Valentini,Argentina,73,24,CB,Hellas Verona FC,1,Defensive Anchor,72.0,32.0,59.0,62.0,74.0,74.0
B. Jackson,Ben Joseph Jackson,England,64,24,"LB, RB, LM",Barrow,1,Defensive Anchor,73.0,44.0,61.0,61.0,57.0,65.0
R. Trevitt,Ryan Joseph Trevitt,England,62,22,"CM, CAM",Wigan Athletic,1,Defensive Anchor,61.0,61.0,61.0,65.0,54.0,61.0
R. Alm,Rasmus Alm,Sweden,67,29,"RM, RW, LW",St. Louis CITY SC,0,Pacey Dribbler,81.0,61.0,62.0,69.0,38.0,60.0
Mario Cantero,Mario Cantero Mariño,Spain,63,23,"CM, CDM, RM",Burgos CF,0,Pacey Dribbler,65.0,61.0,59.0,64.0,62.0,51.0
I. Dolček,Ivan Dolček,Croatia,66,25,"LM, LW, RW",Dundee United FC,0,Pacey Dribbler,76.0,57.0,59.0,67.0,48.0,58.0
M. Boxall,Michael Joseph Boxall,New Zealand,70,36,CB,Minnesota United FC,3,Defensive Anchor II,52.0,43.0,60.0,57.0,69.0,80.0
Tomané,António Manuel Fernandes Mendes,Portugal,69,32,ST,AVS Futebol SAD,5,Target Striker,62.0,71.0,55.0,63.0,29.0,79.0
M. Kwarteng,Moritz-Broni Kwarteng,Germany,69,27,"RW, CAM, RM",VfL Bochum 1848,0,Pacey Dribbler,75.0,69.0,62.0,74.0,30.0,49.0
A. Baron,Anthony Kévin Baron,France,66,32,"LB, CB, CDM",Servette FC,1,Defensive Anchor,67.0,40.0,63.0,63.0,63.0,69.0
A. Opoku,Aaron Opoku Tiawiah,Germany,67,26,"RM, LM, RW",Kayserispor,0,Pacey Dribbler,83.0,56.0,62.0,70.0,39.0,61.0
F. Ruschke,Felix Ruschke,Germany,64,22,"LM, LB",FC Hansa Rostock,1,Defensive Anchor,72.0,48.0,57.0,66.0,62.0,71.0
J. Opoku,Jerome Osei Opoku,Ghana,72,26,CB,Medipol Başakşehir FK,3,Defensive Anchor II,59.0,43.0,54.0,59.0,73.0,80.0
M. Miljević,Matko Mijael Miljevic,United States,66,24,"CAM, ST, LM, CM",Huracán,0,Pacey Dribbler,60.0,60.0,63.0,72.0,44.0,58.0
A. Kabar,Almugera Raouf Mohammed Kabar,Germany,64,19,"LB, LM",Borussia Dortmund,1,Defensive Anchor,77.0,41.0,60.0,63.0,58.0,70.0
S. Di Benedetto,Samuele Di Benedetto,Germany,61,19,"CM, CDM",VfB Stuttgart II,1,Defensive Anchor,68.0,53.0,60.0,64.0,58.0,56.0
G. Frimpong,Godfried Ayesu Owusu Frimpong,Netherlands,70,26,"LB, LM",Kasımpaşa SK,1,Defensive Anchor,79.0,39.0,57.0,68.0,67.0,67.0
R. Stewart,Ross Cameron Stewart,Scotland,71,28,ST,Southampton,5,Target Striker,68.0,71.0,57.0,64.0,30.0,70.0
Marlinito Dias,Marlon Rômulo Dias Cavalcanti,Brazil,70,29,"CDM, CB, CM",Fortaleza,1,Defensive Anchor,56.0,44.0,64.0,57.0,66.0,73.0
N. Pennington,Nicholas Pennington,Australia,64,26,"CM, CDM",Perth Glory,1,Defensive Anchor,55.0,54.0,62.0,61.0,61.0,73.0
Kodro,Kenan Kodro,Bosnia and Herzegovina,70,31,ST,Real Zaragoza,5,Target Striker,44.0,71.0,62.0,65.0,40.0,71.0
A. Kuol,Alou Mawien Kuol,Australia,62,23,ST,Western Sydney Wanderers,5,Target Striker,78.0,60.0,44.0,56.0,44.0,79.0
Renato Rochela,Renato Peter Rochela Costa,Brazil,68,29,"CAM, LM, LW, CM",Vitória,5,Target Striker,60.0,63.0,68.0,69.0,33.0,66.0
Z. Westbrooke,Zain Sam Westbrooke,England,60,28,"CM, RW, CDM",Doncaster Rovers,0,Pacey Dribbler,65.0,54.0,62.0,63.0,55.0,53.0
Alvaro Rodríguez,Álvaro Rodríguez Pérez,Spain,66,30,"RB, LB, RM",SD Eibar,1,Defensive Anchor,65.0,43.0,60.0,60.0,63.0,67.0
D. Bakola,Darryl Bakola,France,63,17,"CAM, CM",Olympique de Marseille,1,Defensive Anchor,64.0,56.0,60.0,68.0,51.0,66.0
F. Bilbija,Filip Bilbija,Germany,71,25,"CAM, CM, ST",SC Paderborn 07,4,Pacey Dribbler II,65.0,65.0,69.0,72.0,31.0,67.0
Aitor Paredes,Aitor Paredes Casamichana,Spain,78,25,CB,Athletic Club,3,Defensive Anchor II,68.0,39.0,51.0,56.0,79.0,75.0
M. Senaya,Marvin Senaya,France,69,24,"RB, RM",AJ Auxerre,1,Defensive Anchor,70.0,46.0,57.0,66.0,67.0,64.0
A. Milić,Antonio Milić,Croatia,71,31,CB,Lech Poznań,3,Defensive Anchor II,44.0,42.0,63.0,50.0,70.0,83.0
T. Perry,Taylor Perry,England,62,23,"CM, CAM, CDM",Shrewsbury Town,0,Pacey Dribbler,68.0,56.0,61.0,65.0,50.0,59.0
C. Inao Oulaï,Christ Ravynel Inao Oulaï,Côte d'Ivoire,64,19,"CAM, CDM, CM",Trabzonspor,0,Pacey Dribbler,74.0,50.0,61.0,69.0,58.0,49.0
B. Lubala,Beryly Logos Lubala,Congo DR,63,27,"ST, LM, LW",Stevenage,0,Pacey Dribbler,82.0,65.0,58.0,65.0,36.0,62.0
S. Taniguchi,Shogo Taniguchi谷口 彰悟,Japan,69,33,CB,Sint-Truidense VV,1,Defensive Anchor,58.0,45.0,59.0,57.0,70.0,72.0
J. Courtney-Perkins,Jordan Alan Courtney-Perkins,Australia,64,22,"LB, CB, LM",Sydney FC,1,Defensive Anchor,72.0,44.0,55.0,60.0,62.0,76.0
C. Baird,Corey Jacob Baird,United States,66,29,"ST, RM, RW",San Diego FC,5,Target Striker,77.0,64.0,59.0,64.0,33.0,68.0
T. Salman,Tarek Salman Suleiman Odehطارق سلمان سليمان عودة,Qatar,68,27,"CB, RB",,1,Defensive Anchor,73.0,34.0,59.0,60.0,68.0,71.0
Park Cheol Woo,Cheol-woo Park박철우,Korea Republic,67,27,"LB, LM, LW",Gimcheon Sangmu FC,1,Defensive Anchor,75.0,46.0,57.0,64.0,61.0,69.0
G. Dalrymple,Giulio Dalrymple,Australia,64,33,"RW, RM",Western United,0,Pacey Dribbler,82.0,62.0,58.0,64.0,45.0,58.0
G. Earthy,George Robert Earthy,England,67,20,"CAM, RM, CM",West Ham United,0,Pacey Dribbler,68.0,60.0,64.0,68.0,44.0,56.0
Matheus Dias,Matheus Dos Santos Dias,Brazil,68,23,"CDM, CM, CB",CD Nacional,1,Defensive Anchor,58.0,50.0,60.0,62.0,66.0,69.0
M. Sylla,Mohamad Sylla,France,66,31,"CDM, CM",Livingston FC,1,Defensive Anchor,65.0,46.0,52.0,63.0,68.0,75.0
H. Cornick,Harry Charles Frederick Cornick,England,67,30,"ST, RM, RW, CAM",Bristol City,0,Pacey Dribbler,77.0,65.0,59.0,68.0,37.0,61.0
Y. Zague,Yoram Zague,France,65,19,"RB, LB, RM",FC København,1,Defensive Anchor,73.0,47.0,60.0,66.0,60.0,56.0
Luis Perea,Luis Perea Hernández,Spain,64,27,"CDM, CM",Arka Gdynia,1,Defensive Anchor,46.0,55.0,63.0,62.0,62.0,67.0
R. Lozano,Raúl Alberto Lozano,Argentina,69,27,"RB, LB, RM",Platense,1,Defensive Anchor,80.0,50.0,55.0,63.0,65.0,69.0
D. Zabala,Daniel Lucas Zabala,Argentina,66,22,"CB, RB, RM",Huracán,1,Defensive Anchor,66.0,46.0,58.0,64.0,66.0,67.0
M. Soldo,Marko Soldo,Croatia,65,21,"CDM, CM",Dinamo Zagreb,1,Defensive Anchor,64.0,49.0,57.0,65.0,60.0,67.0
Marcão,Marcos Vinicius Amaral Alves,Brazil,72,31,ST,Ulsan HD FC,5,Target Striker,70.0,74.0,47.0,66.0,28.0,83.0
N. Sadaoui,Noah Wail Jacob Sadaouiنوح وائل سعداوي,Morocco,68,31,"LM, ST, LW",Kerala Blasters FC,4,Pacey Dribbler II,82.0,65.0,62.0,68.0,31.0,65.0
N. Uysal,Necip Uysal,Türkiye,68,34,"CB, CDM, RB, CM",Beşiktaş JK,1,Defensive Anchor,44.0,56.0,61.0,61.0,69.0,66.0
C. Harper,Cameron Harper,United States,66,23,"RM, RB, CAM, RW",New York Red Bulls,0,Pacey Dribbler,86.0,58.0,52.0,70.0,49.0,58.0
M. Dams,Matteo Dams,Belgium,68,21,"LB, CB, LM",Al Ahli SFC,1,Defensive Anchor,74.0,50.0,56.0,61.0,66.0,73.0
D. Hume,Denver Jay Hume,England,65,26,"LB, LM",Fleetwood Town,1,Defensive Anchor,79.0,37.0,59.0,63.0,57.0,68.0
L. Smans,Levi Smans,Netherlands,67,22,"CAM, CM",SC Heerenveen,0,Pacey Dribbler,71.0,62.0,63.0,69.0,43.0,58.0
Bermejo,Sergio Bermejo Lillo,Spain,68,27,"RM, CAM, RW",Gil Vicente FC,0,Pacey Dribbler,78.0,56.0,66.0,72.0,41.0,53.0
S. Mørk,Sander Risan Mørk,Norway,63,24,"CM, CDM",Sandefjord Fotball,1,Defensive Anchor,63.0,57.0,62.0,62.0,61.0,62.0
A. Sylla,Abakar Loubadhe Sylla,Côte d'Ivoire,72,22,CB,RC Strasbourg Alsace,1,Defensive Anchor,67.0,30.0,56.0,68.0,71.0,77.0
M. Al Olayan,Madallah Ali Al Olayanمدالله العليان,Saudi Arabia,63,30,"LB, RB, LM",Al Ettifaq,1,Defensive Anchor,68.0,46.0,59.0,60.0,59.0,69.0
E. Cerrillo,Edwin Javier Cerrillo,United States,68,24,"CDM, CM, CB",LA Galaxy,1,Defensive Anchor,63.0,45.0,59.0,65.0,64.0,70.0
Javi Rueda,Javier Rueda García,Spain,68,23,"RB, RM",RC Celta,1,Defensive Anchor,77.0,40.0,60.0,68.0,63.0,61.0
B. Gimber,Benedikt Steffen Gimber,Germany,71,28,"CB, CDM",1. FC Heidenheim 1846,1,Defensive Anchor,61.0,48.0,59.0,57.0,71.0,77.0
T. Schmitt,Tate Schmitt,United States,61,28,"LB, LM",Nashville SC,1,Defensive Anchor,68.0,61.0,53.0,65.0,54.0,66.0
J. Hungbo,Joseph Oluwagbemiga Mayowa Hungbo,England,67,25,"RM, RW, LM",Wigan Athletic,0,Pacey Dribbler,76.0,63.0,62.0,70.0,33.0,59.0
G. Gent,Georgie Simon Gent,England,65,21,"LB, LM",Barnsley,1,Defensive Anchor,85.0,48.0,58.0,64.0,56.0,57.0
E. Topçu,Emirhan Topçu,Türkiye,73,24,"CB, LB",Beşiktaş JK,1,Defensive Anchor,73.0,33.0,57.0,65.0,73.0,74.0
N. Ünüvar,Naci Ünüvar,Türkiye,69,22,"LM, CAM, LW",FC Twente,0,Pacey Dribbler,65.0,62.0,70.0,73.0,38.0,42.0
J. Lindberg,Jonas Lindberg,Sweden,62,36,"ST, LM, LW",GAIS,5,Target Striker,52.0,61.0,61.0,63.0,44.0,68.0
A. Grbić,Adrian Grbić,Austria,67,28,ST,FC Luzern,5,Target Striker,65.0,69.0,53.0,65.0,31.0,70.0
P. Rodríguez,Patricio Julián Rodríguez,Argentina,70,35,"LW, LM, ST",Bolívar,0,Pacey Dribbler,76.0,67.0,68.0,74.0,29.0,35.0
J. Garrett,Jake Joseph Garrett,England,63,22,"CDM, CM, CAM",Blackburn Rovers,1,Defensive Anchor,65.0,53.0,58.0,63.0,59.0,65.0
L. Amarilla,Luis Antonio Amarilla Lencina,Paraguay,69,29,ST,Cerro Porteño,5,Target Striker,74.0,69.0,58.0,62.0,35.0,67.0
J. Hansen,Jakob Segadal Hansen,Norway,63,20,"CM, CAM",Viking FK,1,Defensive Anchor,72.0,59.0,59.0,62.0,54.0,65.0
M. Rohr,Maximilian Rohr,Germany,68,30,"CB, CDM",SV Elversberg,1,Defensive Anchor,55.0,53.0,60.0,60.0,67.0,75.0
Kiko,Francisco Teixeira Domingues,Portugal,65,23,"LB, LM",Moreirense FC,0,Pacey Dribbler,80.0,48.0,64.0,63.0,59.0,54.0
S. Salle,Santiago Salle,Argentina,62,21,"RB, RM",Club Atlético San Martín,1,Defensive Anchor,64.0,53.0,60.0,62.0,58.0,65.0
L. Dykes,Lyndon John Dykes,Scotland,68,29,"ST, CAM, CM",Birmingham City,5,Target Striker,66.0,67.0,52.0,64.0,29.0,82.0
B. Vides,Bruno Leonel Vides,Argentina,65,32,"ST, LW",Gualberto Villarroel SJ,5,Target Striker,69.0,62.0,57.0,66.0,39.0,68.0
